Experiment,Time,Colony,Sym,Total,logTotal
1,field,4,D,0.084640558,-1.072421482
1,lab,4,D,0.0257487,-1.589244693
1,field,5,C,0.114556118,-0.940981712
1,lab,5,C,0.101103033,-0.995235816
1,field,6,C,0.054528885,-1.263373383
1,lab,6,C,0.071235714,-1.147302218
1,field,7,D,0.063784135,-1.19528733
1,lab,7,D,0.011179531,-1.951576415
1,field,8,D,0.132087723,-0.879137546
1,lab,8,D,0.025337176,-1.596241792
1,field,9,D,0.054579423,-1.26297106
1,lab,9,D,0.01708621,-1.76735426
1,field,10,D,0.216257264,-0.665029296
1,lab,10,D,0.035331333,-1.451839977
1,field,11,C,0.06485394,-1.188063635
1,lab,11,C,0.05201564,-1.283866054
1,field,12,D,0.551808639,-0.258211505
1,lab,12,D,0.032748096,-1.484813945
1,field,13,D,0.027905295,-1.554313382
1,lab,13,D,0.027750848,-1.556723741
1,field,14,C,0.035540127,-1.449281025
1,lab,14,C,0.021890841,-1.659737553
1,field,17,C,0.027377417,-1.562607529
1,lab,17,C,0.024432497,-1.612032146
1,field,18,D,0.070006152,-1.154863793
1,lab,18,D,0.025223673,-1.598191672
1,field,20,C,0.022386075,-1.650022046
1,lab,20,C,0.02948292,-1.530429506
1,field,21,C,0.081610206,-1.088255526
1,lab,21,C,0.041526477,-1.381674912
1,field,22,D,0.096472982,-1.015594297
1,lab,22,D,0.020884736,-1.68017101
1,field,23,C,0.047041484,-1.327518986
1,lab,23,C,0.056447799,-1.248352987
1,field,24,D,0.02389484,-1.621695873
1,lab,24,D,0.01852484,-1.732245534
1,field,25,C,0.066221418,-1.179001524
1,lab,25,C,0.04768615,-1.321607739
1,field,26,D,0.07001576,-1.154804193
1,lab,26,D,0.02312518,-1.635914878
1,field,27,C,0.080561043,-1.09387492
1,lab,27,C,0.035485781,-1.449945632
1,field,28,C,0.023827451,-1.622922415
1,lab,28,C,0.053537774,-1.27133969
1,field,29,C,0.123531768,-0.908221343
1,lab,29,C,0.017194486,-1.764610802
1,field,30,D,0.086980714,-1.060577032
1,lab,30,D,0.018521069,-1.73233395
1,field,33,C,0.031838381,-1.497049024
1,lab,33,C,0.025396596,-1.59522449
1,field,34,C,0.021890754,-1.659739279
1,lab,34,C,0.03454272,-1.461643468
1,field,35,C,0.045655914,-1.340502959
1,lab,35,C,0.047797124,-1.320598235
1,field,36,C,0.051731545,-1.286244551
1,lab,36,C,0.041797692,-1.378847699
1,field,37,D,0.041834274,-1.378467763
1,lab,37,D,0.031660834,-1.499477649
1,field,38,D,0.107206776,-0.969777764
1,lab,38,D,0.024416939,-1.612308782
1,field,40,D,0.019154658,-1.717725598
1,lab,40,D,0.028104374,-1.551226084
1,field,41,C,0.313389513,-0.50391554
1,lab,41,C,0.024666505,-1.607892381
1,field,45,C,0.063854345,-1.194809546
1,lab,45,C,0.045356966,-1.343356004
1,field,47,D,0.025586105,-1.591995822
1,lab,47,D,0.01769051,-1.752259647
1,field,48,D,0.022787075,-1.642311418
1,lab,48,D,0.034900299,-1.457170852
1,field,50,D,0.034419396,-1.463196755
1,lab,50,D,0.016617427,-1.77943622
1,field,51,D,0.041701083,-1.379852666
1,lab,51,D,0.053446771,-1.272078528
1,field,54,C,0.203995567,-0.69037927
1,lab,54,C,0.047234551,-1.325740209
1,field,65,C,0.100162354,-0.999295477
1,lab,65,C,0.036890209,-1.433088884
1,field,67,D,0.036724282,-1.435046686
