Experiment,Time,Colony,Sym,Total,logTotal
1,lab,67,D,0.021457499,-1.668420899
1,field,72,C,0.078667578,-1.104204221
1,lab,72,C,0.024110803,-1.617788325
1,field,74,C,0.146903304,-0.832968436
1,lab,74,C,0.030065623,-1.521929793
1,field,75,C,0.170315924,-0.768744745
1,lab,75,C,0.062956035,-1.200962632
1,field,76,C,0.075723606,-1.120768713
1,lab,76,C,0.035598429,-1.448569168
1,field,78,D,0.032447155,-1.488823377
1,lab,78,D,0.026557374,-1.57581487
1,field,79,C,0.042404803,-1.37258495
1,lab,79,C,0.032681523,-1.485697713
1,field,81,C,0.052688209,-1.278286564
1,lab,81,C,0.045747663,-1.339631087
1,field,82,C,0.189490295,-0.722413028
1,lab,82,C,0.051232782,-1.290452061
2,feb,704,C,0.19549875,-0.708856015
2,feb,759,D,0.01787997,-1.747633214
2,feb,760,C,0.08239949,-1.084075476
2,feb,761,D,0.04808209,-1.318016663
2,feb,762,C,0.16712483,-0.776959021
2,feb,763,D,0.04315444,-1.364974515
2,feb,764,C,0.0645071,-1.190392482
2,feb,765,D,0.04311352,-1.365386518
2,feb,766,D,0.19165011,-0.717490927
2,feb,767,C,0.02722573,-1.565020467
2,feb,768,C,0.05221463,-1.282207795
2,feb,769,D,0.05373029,-1.269780815
2,feb,770,D,0.09095598,-1.041168742
2,feb,771,D,0.207716,-0.682530049
2,feb,772,D,0.10323394,-0.986177497
2,feb,773,C,0.02849346,-1.545254811
2,feb,775,D,0.13045211,-0.884548892
2,feb,776,D,0.0298719,-1.524737153
2,feb,777,C,0.03314316,-1.479606087
2,feb,778,D,0.22883714,-0.640473489
2,feb,779,D,0.01960913,-1.707541674
2,feb,780,C,0.03694983,-1.432387555
2,feb,781,C,0.0304405,-1.516548218
2,feb,782,D,0.06238464,-1.204922327
2,feb,783,D,0.04668771,-1.330797427
2,feb,784,C,0.03249396,-1.488197358
2,feb,785,D,0.07668312,-1.115300225
2,feb,786,C,0.02423172,-1.615615758
2,feb,787,D,0.08865331,-1.052305045
2,feb,788,D,0.10783987,-0.967220644
2,feb,789,C,0.06225569,-1.205820949
2,feb,790,C,0.02240427,-1.649669202
2,feb,791,C,0.07327058,-1.135070371
2,feb,792,D,0.04863929,-1.313012773
2,feb,793,D,0.02015568,-1.695602545
2,feb,795,D,0.02288474,-1.640454017
2,feb,796,D,0.04437486,-1.352863004
2,feb,797,D,0.07756378,-1.110341034
2,feb,798,D,0.13782052,-0.860686116
2,feb,799,C,0.03820107,-1.417924472
2,feb,909,D,0.03720628,-1.42938375
2,feb,961,D,0.10060031,-0.997400681
2,feb,962,D,0.03287648,-1.483114687
2,feb,963,D,0.16353573,-0.786387346
2,feb,964,C,0.02394341,-1.620813998
2,feb,965,D,0.08933208,-1.048992554
2,feb,967,C,0.01808377,-1.742711025
2,feb,977,C,0.03922077,-1.406483884
2,feb,978,D,0.07203171,-1.142476275
2,feb,979,C,0.01976237,-1.704160974
2,feb,980,C,0.07225269,-1.141145979
2,feb,981,C,0.03360499,-1.473596229
2,apr,704,C,0.12233243,-0.912458397
2,apr,759,D,0.11480128,-0.94005327
2,apr,760,C,0.13140457,-0.881389531
2,apr,761,D,0.06308623,-1.200065425
2,apr,762,C,0.24344537,-0.613598481
2,apr,763,D,0.09498846,-1.022329153
2,apr,764,C,0.15934372,-0.797665048
2,apr,765,D,0.05465752,-1.262350078
2,apr,766,D,0.16108312,-0.792949967
2,apr,767,C,0.08484763,-1.071360284
2,apr,768,C,0.07121025,-1.14745749
2,apr,769,D,0.05068747,-1.295099385
2,apr,770,D,0.24268458,-0.614957818
2,apr,771,D,0.11440877,-0.941540683
2,apr,772,D,0.08201788,-1.086091461
2,apr,773,C,0.05690301,-1.24486476
2,apr,775,D,0.39111177,-0.407699114
2,apr,776,D,0.07507101,-1.124527741
2,apr,777,C,0.03400937,-1.468401413
2,apr,778,D,0.34968715,-0.456320326
2,apr,779,D,0.09964631,-1.001538779
2,apr,780,C,0.10145305,-0.993734892
2,apr,781,C,0.04969764,-1.303664234
2,apr,782,D,0.27958578,-0.553484921
2,apr,783,D,0.03797857,-1.420461392
2,apr,784,C,0.06677568,-1.175381681
2,apr,785,D,0.15820737,-0.800773289
2,apr,786,C,0.06230823,-1.205454586
2,apr,787,D,0.09379906,-1.027801514
2,apr,788,D,0.0994683,-1.002315304
2,apr,789,C,0.03452635,-1.461849331
2,apr,790,C,0.05078181,-1.294291824
2,apr,791,C,0.04938806,-1.306378033
2,apr,792,D,0.08039533,-1.094769178
2,apr,793,D,0.05874385,-1.231037594
2,apr,795,D,0.02839443,-1.546766845
2,apr,796,D,0.11902698,-0.924354585
2,apr,797,D,0.06618248,-1.179256963
2,apr,798,D,0.06978305,-1.156250053
2,apr,799,C,0.03654664,-1.437152545
2,apr,909,D,0.06641857,-1.177710479
2,apr,961,D,0.33651827,-0.472991352
2,apr,962,D,0.10770347,-0.967770304
2,apr,963,D,0.09434205,-1.025294691
2,apr,964,C,0.06885461,-1.162066977
2,apr,965,D,0.09233402,-1.034638256
2,apr,967,C,0.02577947,-1.588726016
2,apr,977,C,0.05733712,-1.241564125
2,apr,978,D,0.13477515,-0.870390176
2,apr,979,C,0.11477996,-0.940133931
2,apr,980,C,0.03785407,-1.421887419
2,apr,981,C,0.03368882,-1.472514201
2,jun,704,C,0.07226635,-1.14106388
2,jun,759,D,0.14260815,-0.845855654
2,jun,760,C,0.05703614,-1.243849874
2,jun,761,D,0.21084409,-0.676038568
2,jun,762,C,0.06685505,-1.174865782
2,jun,763,D,0.12610353,-0.899272756
2,jun,764,C,0.11373563,-0.944103462
2,jun,765,D,0.1128206,-0.947611595
2,jun,766,D,0.20093346,-0.696947737
2,jun,767,C,0.04866285,-1.31280246
2,jun,768,C,0.0974391,-1.011266736
2,jun,769,D,0.21546806,-0.666617099
2,jun,770,D,0.18560655,-0.731406702
2,jun,771,D,0.37555282,-0.425328973
2,jun,772,D,0.23611327,-0.626879604
2,jun,773,C,0.05526186,-1.257574502
2,jun,775,D,0.39212889,-0.40657116
2,jun,776,D,0.15813689,-0.800966807
2,jun,777,C,0.06486158,-1.188012476
2,jun,778,D,0.1480628,-0.829554042
2,jun,779,D,0.06248303,-1.204237918
2,jun,780,C,0.06349863,-1.197235645
2,jun,781,C,0.08447212,-1.073286606
2,jun,782,D,0.14800214,-0.829732005
2,jun,783,D,0.0927271,-1.032793322
2,jun,784,C,0.06709049,-1.173339036
2,jun,785,D,0.25385183,-0.595419701
2,jun,786,C,0.03819264,-1.418020321
2,jun,787,D,0.17342544,-0.760887195
2,jun,788,D,0.12055398,-0.918818447
2,jun,789,C,0.05003565,-1.300720454
2,jun,790,C,0.05039301,-1.2976297
2,jun,791,C,0.22597898,-0.645931956
2,jun,792,D,0.04365066,-1.360009185
2,jun,793,D,0.23264147,-0.633312867
2,jun,795,D,0.0705297,-1.151627963
2,jun,796,D,0.06927152,-1.159445283
2,jun,797,D,0.10225785,-0.990303343
2,jun,798,D,0.21741495,-0.662710596
2,jun,799,C,0.06083254,-1.21586405
2,jun,909,D,0.0934673,-1.029340303
2,jun,961,D,0.28565972,-0.544150994
2,jun,962,D,0.05817314,-1.235277494
2,jun,963,D,0.2078435,-0.682263553
2,jun,964,C,0.08161,-1.088256622
2,jun,965,D,0.17648918,-0.753281915
2,jun,967,C,0.04374011,-1.359120129
2,jun,977,C,0.06805027,-1.167170147
2,jun,978,D,0.31907546,-0.496106596
2,jun,979,C,0.08454887,-1.072892192
2,jun,980,C,0.05978705,-1.223392875
2,jun,981,C,0.13579768,-0.86710765
