colony,sym,juntotal,aprtotal,febtotal,logfebtotal,change,pchange,fchange,relchange
704,C,0.07226635,0.12233243,0.19549875,-0.708856015,-0.1232324,-0.630348787,0.369651213,-0.432207865
760,C,0.05703614,0.13140457,0.08239949,-1.084075476,-0.02536335,-0.307809551,0.692190449,-0.159774397
762,C,0.06685505,0.24344537,0.16712483,-0.776959021,-0.10026978,-0.599969376,0.400030624,-0.397906761
764,C,0.11373563,0.15934372,0.0645071,-1.190392482,0.04922853,0.763149018,1.763149018,0.24628902
767,C,0.04866285,0.08484763,0.02722573,-1.565020467,0.02143712,0.787384581,1.787384581,0.252218007
768,C,0.0974391,0.07121025,0.05221463,-1.282207795,0.04522447,0.866126409,1.866126409,0.270941059
773,C,0.05526186,0.05690301,0.02849346,-1.545254811,0.0267684,0.939457686,1.939457686,0.287680309
777,C,0.06486158,0.03400937,0.03314316,-1.479606087,0.03171842,0.957012548,1.957012548,0.29159361
780,C,0.06349863,0.10145305,0.03694983,-1.432387555,0.0265488,0.718509395,1.718509395,0.235151911
781,C,0.08447212,0.04969764,0.0304405,-1.516548218,0.05403162,1.774991212,2.774991212,0.443261612
784,C,0.06709049,0.06677568,0.03249396,-1.488197358,0.03459653,1.064706487,2.064706487,0.314858322
786,C,0.03819264,0.06230823,0.02423172,-1.615615758,0.01396092,0.576142346,1.576142346,0.197595437
789,C,0.05003565,0.03452635,0.06225569,-1.205820949,-0.01222004,-0.196287922,0.803712078,-0.094899505
790,C,0.05039301,0.05078181,0.02240427,-1.649669202,0.02798874,1.249259181,2.249259181,0.352039502
791,C,0.22597898,0.04938806,0.07327058,-1.135070371,0.1527084,2.084170754,3.084170754,0.489138415
799,C,0.06083254,0.03654664,0.03820107,-1.417924472,0.02263147,0.592430264,1.592430264,0.202060423
964,C,0.08161,0.06885461,0.02394341,-1.620813998,0.05766659,2.408453516,3.408453516,0.532557376
967,C,0.04374011,0.02577947,0.01808377,-1.742711025,0.02565634,1.41874952,2.41874952,0.383590896
977,C,0.06805027,0.05733712,0.03922077,-1.406483884,0.0288295,0.735056961,1.735056961,0.239313737
979,C,0.08454887,0.11477996,0.01976237,-1.704160974,0.0647865,3.278275834,4.278275834,0.631268782
980,C,0.05978705,0.03785407,0.07225269,-1.141145979,-0.01246564,-0.172528386,0.827471614,-0.082246896
981,C,0.13579768,0.03368882,0.03360499,-1.473596229,0.10219269,3.040997483,4.040997483,0.60648858
759,D,0.14260815,0.11480128,0.01787997,-1.747633214,0.12472818,6.975860698,7.975860698,0.90177756
761,D,0.21084409,0.06308623,0.04808209,-1.318016663,0.162762,3.385085798,4.385085798,0.641978095
763,D,0.12610353,0.09498846,0.04315444,-1.364974515,0.08294909,1.922144975,2.922144975,0.465701759
765,D,0.1128206,0.05465752,0.04311352,-1.365386518,0.06970708,1.616826462,2.616826462,0.417774923
766,D,0.20093346,0.16108312,0.19165011,-0.717490927,0.00928335,0.048439054,1.048439054,0.02054319
769,D,0.21546806,0.05068747,0.05373029,-1.269780815,0.16173777,3.010178616,4.010178616,0.603163717
770,D,0.18560655,0.24268458,0.09095598,-1.041168742,0.09465057,1.040619539,2.040619539,0.309762041
771,D,0.37555282,0.11440877,0.207716,-0.682530049,0.16783682,0.808011034,1.808011034,0.257201077
772,D,0.23611327,0.08201788,0.10323394,-0.986177497,0.13287933,1.287167089,2.287167089,0.359297893
775,D,0.39212889,0.39111177,0.13045211,-0.884548892,0.26167678,2.005922173,3.005922173,0.477977732
776,D,0.15813689,0.07507101,0.0298719,-1.524737153,0.12826499,4.293834339,5.293834339,0.723770347
778,D,0.1480628,0.34968715,0.22883714,-0.640473489,-0.08077434,-0.352977406,0.647022594,-0.189080553
779,D,0.06248303,0.09964631,0.01960913,-1.707541674,0.0428739,2.186425405,3.186425405,0.503303756
782,D,0.14800214,0.27958578,0.06238464,-1.204922327,0.0856175,1.372413145,2.372413145,0.375190322
783,D,0.0927271,0.03797857,0.04668771,-1.330797427,0.04603939,0.98611369,1.98611369,0.298004105
785,D,0.25385183,0.15820737,0.07668312,-1.115300225,0.17716871,2.310400385,3.310400385,0.519880524
787,D,0.17342544,0.09379906,0.08865331,-1.052305045,0.08477213,0.956220698,1.956220698,0.29141785
788,D,0.12055398,0.0994683,0.10783987,-0.967220644,0.01271411,0.117898046,1.117898046,0.048402197
