Colony	Reef	Mean_Control_Proportion	Mean_34_Proportion	Mean_34.5_Proportion	Mean_35_Proportion	Mean_Heated_Proportion	ControlVBSEnd	Retention	Depth	Group	North	Forereef	Proportion_Percent_Remaining_34	Proportion_Percent_Remaining_34.5	Proportion_Percent_Remaining_35	Mean_Heated_VBS_Initial	Mean_Heated_VBS_Day_1	Mean_Heated_VBS_Day_2	Mean_Control_VBS_Initial	Mean_Control_VBS_Day_1	Mean_Control_VBS_Day_2	Mean_34_VBS_Day_1	Mean_34_VBS_Day_2	Mean_34.5_VBS_Day_1	Mean_34.5_VBS_Day_2	Mean_35_VBS_Day_1	Mean_35_VBS_Day_2	Temperature	MaxTemp	TempVariances	Proportion_VBS_Remaining_Control_Day_1	Proportion_VBS_Remaining_Control_Day_2	Proportion_VBS_Remaining_Heated_Day_1	Proportion_VBS_Remaining_Heated_Day_2	Heated.Mean.VBS.2	VBS.Delta	Final.Heated.VBS.Bleaching.Criterion	Top	Bottom	Mean_Percent_VBS_Reamining_Heated	Mean_Percent_Proportion_Reamining_Heated	Percent_VBS_Remaining_35_Day_1	Percent_VBS_Remaining_35_Day_2	Percent_VBS_Remaining_34_Day_1	Percent_VBS_Remaining_34_Day_2	Percent_VBS_Remaining_34.5_Day_1	Percent_VBS_Remaining_34.5_Day_2	Residuals	Growth	Size	GroupFactor	Temp32
94	19	0.205133628	0.134632712	0.035473918	0.042722434	0.070943022	2	0.345838088	0.894874128	2	0	0	0.656317122	0.172930781	0.208266362	1.666666667	3.333333333	4	1.5	1.5	2	2	2	4	5	4	5	1412.666667	32.086	0.295971991	1	0.75	0.5	0.416666667	4	-2	0	0	0	0.5	0.345838088	0.5	0.4	1	1	0.5	0.4	-4.42E-05	1.04712245	3.327766662	2	1.333333333
96	19	0.080008767	0.02026076	0.06858142	0.01692057	0.03525425	2.857142857	0.440629837	NA	2	0	0	0.253231745	0.857173819	0.211483947	2.5	4.666666667	5	2.5	3	3	4	5	5	5	5	5	1412.666667	32.086	0.295971991	0.833333333	0.833333333	0.535714286	0.5	5	-2	0	0	0	0.6	0.440629837	0.6	0.6	0.75	0.6	0.6	0.6	-0.182914397	NA	NA	2	1.333333333
99	19	0.082409553	0.04003598	0.046709591	0.018344652	0.036281551	2.666666667	0.440259038	1.494874128	2	0	0	0.485817216	0.566798257	0.222603462	1.333333333	3.666666667	4	1.75	1.75	2.5	2	3	4	4	5	5	1412.666667	32.086	0.295971991	1	0.7	0.363636364	0.333333333	4	-1.5	0	0	0	0.625	0.425072978	0.5	0.5	1.25	0.833333333	0.625	0.625	-0.193143721	NA	NA	2	1.333333333
101	23	0.074670853	0.058868197	0.064471543	0.03388159	0.05240711	1	0.701841588	2.5795808	3	0	0	0.788369155	0.863409751	0.453745859	1.333333333	3	2.666666667	1	1.5	1	3	2	3	3	3	3	3101.75	33.43	0.420073784	0.666666667	1	0.444444444	0.5	2.666666667	-1.666666667	1	0	0	0.375	0.701841588	0.333333333	0.333333333	0.333333333	0.5	0.333333333	0.333333333	0.066452103	1.050450516	3.287657296	3	185
102	23	0.062140184	0.069335164	0.063521724	NA	0.066428444	2	1.069009457	2.5795808	3	0	0	1.115786277	1.022232637	NA	2	4	4	2	2	2	3	3	4	4	5	5	3101.75	33.43	0.420073784	1	1	0.5	0.5	4	-2	0	1	0	0.5	1.069009457	0.4	0.4	0.666666667	0.666666667	0.5	0.5	0.405813426	1.048030934	3.212447975	3	185
103	23	0.070821833	0.012809163	0.017081887	NA	0.014945525	2	0.211029907	3.1795808	3	0	0	0.180864607	0.241195206	NA	3	4.333333333	4.666666667	2	3	2	4	4	4	5	5	5	3101.75	33.43	0.420073784	0.666666667	1	0.692307692	0.642857143	4.666666667	-2.666666667	0	0	1	0.428571429	0.211029907	0.4	0.4	0.5	0.5	0.5	0.4	-0.43290086	1.014983203	3.572029695	3	185
104	23	0.071861488	0.066222573	0.081421437	NA	0.073822005	2	1.027281882	2.7795808	3	0	0	0.92153077	1.133032994	NA	1.833333333	3	3	1	2	2	2	2	3	3	4	4	3101.75	33.43	0.420073784	0.5	0.5	0.611111111	0.611111111	3	-1	1	1	0	0.666666667	1.027281882	0.5	0.5	1	1	0.666666667	0.666666667	0.385658194	0.982456054	2.589434373	3	185
110	23	0.094947967	0.081287691	0.073287888	0.053410848	0.069328809	2.5	0.73017687	NA	3	0	0	0.856128827	0.771874221	0.562527561	1	2.666666667	3.333333333	2	2.5	2.5	2	3	3	3	3	4	3101.75	33.43	0.420073784	0.8	0.8	0.375	0.3	3.333333333	-0.833333333	1	0	0	0.75	0.73017687	0.833333333	0.625	1.25	0.833333333	0.833333333	0.833333333	0.1397839	NA	NA	3	185
111	24	0.106717725	0.108296162	0.088033742	0.029102685	0.075144196	2	0.704139788	NA	3	0	0	1.014790767	0.824921464	0.272707134	1.333333333	1.666666667	2.666666667	2	2	2	1	2	2	3	2	3	3204.5	32.807	0.422575464	1	1	0.8	0.5	2.666666667	-0.666666667	1	0	0	0.75	0.704139788	1	0.666666667	2	1	1	0.666666667	0.13986484	NA	NA	3	165.5
112	24	0.098850696	0.082011951	0.036946502	NA	0.100922719	2	1.020961141	2.0339626	3	0	0	0.829654763	0.373760671	1.85946799	2	3.333333333	3.666666667	2	2	2	3	3	3	3	4	5	3204.5	32.807	0.422575464	1	1	0.6	0.545454545	3.666666667	-1.666666667	0	1	0	0.545454545	1.020961141	0.5	0.4	0.666666667	0.666666667	0.666666667	0.666666667	0.439228635	1.124092519	2.432954564	3	165.5
114	24	0.150452927	0.074772245	0.026076808	NA	0.050424527	2	0.335151519	NA	3	0	0	0.496980995	0.173322042	NA	1.666666667	3.333333333	3.666666667	2	2	2	3	3	3	3	4	5	3204.5	32.807	0.422575464	1	1	0.5	0.454545455	3.666666667	-1.666666667	0	0	0	0.545454545	0.335151519	0.5	0.4	0.666666667	0.666666667	0.666666667	0.666666667	-0.132071564	NA	NA	3	165.5
115	24	0.095431671	0.073224517	0.083827409	0.071614008	0.076221978	2.5	0.798707361	NA	3	0	0	0.767297865	0.878402405	0.750421814	2	3	3	2	2	2.5	3	3	3	3	3	3	3204.5	32.807	0.422575464	1	0.8	0.666666667	0.666666667	3	-0.5	1	1	0	0.833333333	0.798707361	0.833333333	0.833333333	0.833333333	0.833333333	0.833333333	0.833333333	0.209387769	NA	NA	3	165.5
117	24	0.158905261	0.039547102	0.041159621	0.013132823	0.031279849	2	0.1968459	1.5339626	3	0	0	0.248872203	0.25901988	0.082645618	2	3	3.333333333	2	2	2	2	2	3	3	4	5	3204.5	32.807	0.422575464	1	1	0.666666667	0.6	3.333333333	-1.333333333	0	0	1	0.6	0.1968459	0.5	0.4	1	1	0.666666667	0.666666667	-0.251620786	1.132925017	1.884390852	3	165.5
118	24	0.123628608	0.112769065	0.160235416	0.032508742	0.101837741	2	0.823739286	2.1339626	3	0	0	0.912159957	1.296103052	0.262954848	1.666666667	2.333333333	2.666666667	2	2	2	2	2	2	2	3	4	3204.5	32.807	0.422575464	1	1	0.714285714	0.625	2.666666667	-0.666666667	1	1	0	0.75	0.823739286	0.666666667	0.5	1	1	1	1	0.296990921	1.037474047	2.635674503	3	165.5
