Colony	Reef	Mean_Control_Proportion	Mean_34_Proportion	Mean_34.5_Proportion	Mean_35_Proportion	Mean_Heated_Proportion	ControlVBSEnd	Retention	Depth	Group	North	Forereef	Proportion_Percent_Remaining_34	Proportion_Percent_Remaining_34.5	Proportion_Percent_Remaining_35	Mean_Heated_VBS_Initial	Mean_Heated_VBS_Day_1	Mean_Heated_VBS_Day_2	Mean_Control_VBS_Initial	Mean_Control_VBS_Day_1	Mean_Control_VBS_Day_2	Mean_34_VBS_Day_1	Mean_34_VBS_Day_2	Mean_34.5_VBS_Day_1	Mean_34.5_VBS_Day_2	Mean_35_VBS_Day_1	Mean_35_VBS_Day_2	Temperature	MaxTemp	TempVariances	Proportion_VBS_Remaining_Control_Day_1	Proportion_VBS_Remaining_Control_Day_2	Proportion_VBS_Remaining_Heated_Day_1	Proportion_VBS_Remaining_Heated_Day_2	Heated.Mean.VBS.2	VBS.Delta	Final.Heated.VBS.Bleaching.Criterion	Top	Bottom	Mean_Percent_VBS_Reamining_Heated	Mean_Percent_Proportion_Reamining_Heated	Percent_VBS_Remaining_35_Day_1	Percent_VBS_Remaining_35_Day_2	Percent_VBS_Remaining_34_Day_1	Percent_VBS_Remaining_34_Day_2	Percent_VBS_Remaining_34.5_Day_1	Percent_VBS_Remaining_34.5_Day_2	Residuals	Growth	Size	GroupFactor	Temp32
30	21	0.081563916	NA	0.047501024	0.015859405	0.031680215	2.5	0.388409684	0.549326586	1	0	0	NA	0.582377929	0.19444144	2	3.333333333	3.666666667	2	2	2.5	2	3	3	3	5	5	NA	NA	NA	1	0.8	0.6	0.545454545	3.666666667	-1.166666667	0	0	0	0.681818182	0.388409684	0.5	0.5	1.25	0.833333333	0.833333333	0.833333333	-0.231683551	NA	NA	1	NA
32	17	0.088126443	0.051543823	0.057529542	0.028038441	0.045703935	2.5	0.518617722	NA	2	0	0	0.584884868	0.652806802	0.318161494	1.666666667	3.333333333	4	1.5	2	2.5	2	3	4	5	4	4	2451.666667	33.118	0.323588384	0.75	0.6	0.5	0.416666667	4	-1.5	1	0	0	0.625	0.518617722	0.625	0.625	1.25	0.833333333	0.625	0.5	-0.086912747	NA	NA	2	8.666666667
34	17	0.074000159	0.038098434	0.050143931	0.059123697	0.049122021	2.5	0.663809665	NA	2	0	0	0.514842594	0.677619238	0.798967165	2	4.333333333	4.666666667	2	2	2.5	4	4	5	5	4	5	2451.666667	33.118	0.323588384	1	0.8	0.461538462	0.428571429	4.666666667	-2.166666667	0	0	0	0.535714286	0.663809665	0.625	0.5	0.625	0.625	0.5	0.5	0.026931857	NA	NA	2	8.666666667
35	17	0.136112275	0.083678742	0.058263377	0.03885167	0.060264597	2.5	0.442756517	NA	2	0	0	0.614777343	0.428053806	0.285438402	1.666666667	3	4	2	2	2.5	3	4	3	4	3	4	2451.666667	33.118	0.323588384	1	0.8	0.555555556	0.416666667	4	-1.5	1	0	0	0.625	0.442756517	0.833333333	0.625	0.833333333	0.625	0.833333333	0.625	-0.056289605	NA	NA	2	8.666666667
41	50	0.081416552	0.037035125	0.023415992	NA	0.030225558	2	0.371245864	2.907536225	5	0	1	0.454884465	0.287607263	NA	1	3.666666667	4	1	1.5	2	3	3	4	4	4	5	907.5	32.291	0.333492199	0.666666667	0.5	0.272727273	0.25	4	-2	0	0	0	0.5	0.371245864	0.5	0.4	0.666666667	0.666666667	0.5	0.5	-0.249174384	0.80146585	2.03610212	5	6
42	50	0.143432414	0.079401988	0.019505921	NA	0.049453954	1	0.344789246	3.507536225	5	0	1	0.553584683	0.13599381	NA	1.333333333	2.666666667	4.666666667	1	1	1	2	4	3	5	3	5	907.5	32.291	0.333492199	1	1	0.5	0.285714286	4.666666667	-3.666666667	0	0	0	0.214285714	0.344789246	0.333333333	0.2	0.5	0.25	0.333333333	0.2	-0.138012908	0.941184219	2.342088935	5	6
43	50	0.114605918	0.040627596	0.017926511	NA	0.029277053	2.5	0.255458477	1.607536225	5	0	1	0.354498235	0.156418719	NA	1	3.666666667	3.666666667	1.5	2.5	2.5	3	3	4	3	4	5	907.5	32.291	0.333492199	0.6	0.6	0.272727273	0.272727273	3.666666667	-1.166666667	0	0	1	0.681818182	0.255458477	0.625	0.5	0.833333333	0.833333333	0.625	0.833333333	-0.291311947	1.070184699	2.612875591	5	6
44	50	0.15996707	0.099621406	0.025740129	NA	0.062680767	2.5	0.391835441	3.507536225	5	0	1	0.622761958	0.160908923	NA	1	4	4	1	2	2.5	3	3	4	4	5	5	907.5	32.291	0.333492199	0.5	0.4	0.25	0.25	4	-1.5	0	0	0	0.625	0.391835441	0.5	0.5	0.833333333	0.833333333	0.625	0.625	-0.054275007	1.094305526	2.342088935	5	6
45	50	0.119760411	0.043233881	0.021900801	NA	0.032567341	2	0.271937449	4.007536225	5	0	1	0.361003108	0.18287179	NA	1.333333333	3.666666667	4	1	2	2	3	3	4	4	4	5	907.5	32.291	0.333492199	0.5	0.5	0.363636364	0.333333333	4	-2	0	0	1	0.5	0.271937449	0.5	0.4	0.666666667	0.666666667	0.5	0.5	-0.263394748	1.06857397	2.98052826	5	6
46	50	0.119445859	0.081259548	0.05594825	0	0.045735933	2	0.382900946	3.107536225	5	0	1	0.680304432	0.468398407	0	2	3.333333333	3.333333333	2	2	2	3	3	3	3	4	4	907.5	32.291	0.333492199	1	1	0.6	0.6	3.333333333	-1.333333333	1	0	0	0.6	0.382900946	0.5	0.5	0.666666667	0.666666667	0.666666667	0.666666667	-0.153129266	1.053476518	2.432954564	5	6
49	50	0.051721416	0.012123869	0.015662231	NA	0.01389305	2.5	0.268613107	NA	5	0	1	0.234407143	0.302819072	NA	2.333333333	4	5	2.5	2	2.5	4	5	4	5	4	5	907.5	32.291	0.333492199	1.25	1	0.583333333	0.466666667	5	-2.5	0	0	1	0.5	0.268613107	0.625	0.5	0.625	0.5	0.625	0.5	-0.417702991	NA	NA	5	6
50	50	0.036595537	0.05362713	0.042149938	0.014033954	0.036603674	2	1.000222351	NA	5	0	1	1.46540082	1.151778097	0.383488136	2	3.333333333	3.666666667	2	2	2	3	4	3	3	4	4	907.5	32.291	0.333492199	1	1	0.6	0.545454545	3.666666667	-1.666666667	1	1	0	0.545454545	1.000222351	0.5	0.5	0.666666667	0.5	0.666666667	0.666666667	0.280340733	NA	NA	5	6
