colony,sym,time,date,D,C,total,logtotal,logfebtotal
787,D,1,feb,0.088653312,0,0.08865331,-1.052305045,-1.052305045
787,D,2,apr,0.093799061,0,0.09379906,-1.027801514,-1.052305045
787,D,3,jun,0.173425435,0,0.17342544,-0.760887195,-1.052305045
788,D,1,feb,0.107839873,0,0.10783987,-0.967220644,-0.967220644
788,D,2,apr,0.099468304,0,0.0994683,-1.002315304,-0.967220644
788,D,3,jun,0.120553976,0,0.12055398,-0.918818447,-0.967220644
789,C,1,feb,0,0.06225569,0.06225569,-1.205820949,-1.205820949
789,C,2,apr,0,0.03452635,0.03452635,-1.461849331,-1.205820949
789,C,3,jun,0,0.05003565,0.05003565,-1.300720454,-1.205820949
790,C,1,feb,0,0.02240427,0.02240427,-1.649669202,-1.649669202
790,C,2,apr,0,0.05078181,0.05078181,-1.294291824,-1.649669202
790,C,3,jun,0,0.05039301,0.05039301,-1.2976297,-1.649669202
791,C,1,feb,0,0.07327058,0.07327058,-1.135070371,-1.135070371
791,C,2,apr,0.000192965,0.0491951,0.04938806,-1.306378033,-1.135070371
791,C,3,jun,0,0.22597898,0.22597898,-0.645931956,-1.135070371
792,D,1,feb,0.048594995,0.00004429,0.04863929,-1.313012773,-1.313012773
792,D,2,apr,0.080395335,0,0.08039533,-1.094769178,-1.313012773
792,D,3,jun,0.043650661,0,0.04365066,-1.360009185,-1.313012773
793,D,1,feb,0.019613096,0.00054259,0.02015568,-1.695602545,-1.695602545
793,D,2,apr,0.057835679,0.00090818,0.05874385,-1.231037594,-1.695602545
793,D,3,jun,0.231083346,0.00155812,0.23264147,-0.633312867,-1.695602545
795,D,1,feb,0.022841181,0.00004356,0.02288474,-1.640454017,-1.640454017
795,D,2,apr,0.028394428,0,0.02839443,-1.546766845,-1.640454017
795,D,3,jun,0.070519671,0.00001003,0.0705297,-1.151627963,-1.640454017
796,D,1,feb,0.044357697,0.00001716,0.04437486,-1.352863004,-1.352863004
796,D,2,apr,0.119026976,0,0.11902698,-0.924354585,-1.352863004
796,D,3,jun,0.069271519,0,0.06927152,-1.159445283,-1.352863004
797,D,1,feb,0.077494974,0.0000688,0.07756378,-1.110341034,-1.110341034
797,D,2,apr,0.066182475,0,0.06618248,-1.179256963,-1.110341034
797,D,3,jun,0.102253447,0.0000044,0.10225785,-0.990303343,-1.110341034
798,D,1,feb,0.137820515,0,0.13782052,-0.860686116,-0.860686116
798,D,2,apr,0.069783053,0,0.06978305,-1.156250053,-0.860686116
798,D,3,jun,0.217414949,0,0.21741495,-0.662710596,-0.860686116
799,C,1,feb,0,0.03820107,0.03820107,-1.417924472,-1.417924472
799,C,2,apr,0,0.03654664,0.03654664,-1.437152545,-1.417924472
799,C,3,jun,0,0.06083254,0.06083254,-1.21586405,-1.417924472
909,D,1,feb,0.037206281,0,0.03720628,-1.42938375,-1.42938375
909,D,2,apr,0.066418571,0,0.06641857,-1.177710479,-1.42938375
909,D,3,jun,0.093467305,0,0.0934673,-1.029340303,-1.42938375
961,D,1,feb,0.100600309,0,0.10060031,-0.997400681,-0.997400681
961,D,2,apr,0.336442884,0.00007539,0.33651827,-0.472991352,-0.997400681
961,D,3,jun,0.285659724,0,0.28565972,-0.544150994,-0.997400681
962,D,1,feb,0.032752246,0.00012424,0.03287648,-1.483114687,-1.483114687
962,D,2,apr,0.107548991,0.00015447,0.10770347,-0.967770304,-1.483114687
962,D,3,jun,0.053960763,0.00421237,0.05817314,-1.235277494,-1.483114687
963,D,1,feb,0.163529129,0.0000066,0.16353573,-0.786387346,-0.786387346
963,D,2,apr,0.094329205,0.00001284,0.09434205,-1.025294691,-0.786387346
963,D,3,jun,0.207843502,0,0.2078435,-0.682263553,-0.786387346
964,C,1,feb,0,0.02394341,0.02394341,-1.620813998,-1.620813998
964,C,2,apr,0,0.06885461,0.06885461,-1.162066977,-1.620813998
964,C,3,jun,0,0.08161,0.08161,-1.088256622,-1.620813998
965,D,1,feb,0.089322021,0.00001006,0.08933208,-1.048992554,-1.048992554
965,D,2,apr,0.092316346,0.00001768,0.09233402,-1.034638256,-1.048992554
965,D,3,jun,0.176468943,0.00002023,0.17648918,-0.753281915,-1.048992554
967,C,1,feb,0,0.01808377,0.01808377,-1.742711025,-1.742711025
967,C,2,apr,0,0.02577947,0.02577947,-1.588726016,-1.742711025
967,C,3,jun,0,0.04374011,0.04374011,-1.359120129,-1.742711025
977,C,1,feb,0,0.03922077,0.03922077,-1.406483884,-1.406483884
977,C,2,apr,0,0.05733712,0.05733712,-1.241564125,-1.406483884
977,C,3,jun,0,0.06805027,0.06805027,-1.167170147,-1.406483884
978,D,1,feb,0.072031707,0,0.07203171,-1.142476275,-1.142476275
978,D,2,apr,0.134775154,0,0.13477515,-0.870390176,-1.142476275
978,D,3,jun,0.319075457,0,0.31907546,-0.496106596,-1.142476275
979,C,1,feb,0,0.01976237,0.01976237,-1.704160974,-1.704160974
979,C,2,apr,0,0.11477996,0.11477996,-0.940133931,-1.704160974
979,C,3,jun,0,0.08454887,0.08454887,-1.072892192,-1.704160974
980,C,1,feb,0,0.07225269,0.07225269,-1.141145979,-1.141145979
980,C,2,apr,0,0.03785407,0.03785407,-1.421887419,-1.141145979
980,C,3,jun,0.000012837,0.05977422,0.05978705,-1.223392875,-1.141145979
981,C,1,feb,0,0.03360499,0.03360499,-1.473596229,-1.473596229
981,C,2,apr,0,0.03368882,0.03368882,-1.472514201,-1.473596229
981,C,3,jun,0,0.13579768,0.13579768,-0.86710765,-1.473596229
